# Words not present in GoogleNews word2vec model
# in (word, count) format
 

('clarkjared', 1)
('mirella', 1)
('barrera', 1)
('onactivateciactout', 1)
('xpermanent', 1)
('summaryreferral', 1)
('appoin', 1)
('valcyte', 1)
('cepciol', 1)
('photopsias', 1)
('exsmoker', 1)
('pancolitis', 1)
('pseudopolyps', 1)
('packsday', 1)
('juxtafoveal', 1)
('juxtafoveally', 1)
('firsher', 1)
('yearper', 1)
('singhcheema', 1)
('arlenes', 1)
('fredricks', 1)
('drblumenkranz', 1)
('dorzoltimolsolop', 1)
('scheudled', 1)
('reviewedto', 1)
('krock', 1)
('trabeculotomy', 1)
('wlong', 1)
('inprocess', 1)
('babaysitter', 1)
('filefor', 1)
('blurryness', 1)
('kims', 1)
('cheema', 1)
('kiay', 1)
('pleasanton', 1)
('tapesilicones', 1)
('monopril', 1)
('fosinopril', 1)
('hospintubation', 1)
('avr', 1)
('tmj', 1)
('demoidectomy', 1)
('anes', 1)
('wrf', 1)
('thyroplasty', 1)
('goretex', 1)
('chihkwang', 1)
('wendye', 1)
('sternomy', 1)
('leong', 1)
('phni', 1)
('ecchymoses', 1)
('canthus', 1)
('hematomableeding', 1)
('kleinman', 1)
('talmadge', 1)
('giveen', 1)
('mandelson', 1)
('pcc', 1)
('appointmetn', 1)
('capitola', 1)
('matilda', 1)
('haubrich', 1)
('montse', 1)
('excalated', 1)
('specialities', 1)
('montagues', 1)
('chakkapark', 1)
('calledhe', 1)
('availabilties', 1)
('alousia', 1)
('pham', 1)
('ppx', 1)
('glaucomacataract', 1)
('helpmargaret', 1)
('printedsigned', 1)
('opthalmologistplscall', 1)
('validworking', 1)
('dersol', 1)
('walgreensstore', 1)
('issuesside', 1)
('mailtoamishahgmailcom', 1)
('jengbvisionucsfedu', 1)
('beckman', 1)
('officecell', 1)
('amishahgmailcom', 1)
('moneytransportation', 1)
('soninlaw', 1)
('mailtoyangcvisionucsfedu', 1)
('studythank', 1)
('chlorox', 1)
('prokera', 1)
('routeresolve', 1)
('besagsuzanne', 1)
('callinc', 1)
('mailinc', 1)
('faxinc', 1)
('oruna', 1)
('kathryne', 1)
('drseekamps', 1)
('ophtomrefraction', 1)
('techoscar', 1)
('nunez', 1)
('haggerty', 1)
('humira', 1)
('brimomidine', 1)
('calrification', 1)
('herpt', 1)
('ahile', 1)
('answerbusy', 1)
('sterilid', 1)
('ocusoft', 1)
('overthecounter', 1)
('trimethoprimpolymyxin', 1)
('callit', 1)
('monthursday', 1)
('basham', 1)
('bashams', 1)
('goldmann', 1)
('statedpt', 1)
('arithromyacin', 1)
('goopey', 1)
('copmpresses', 1)
('immediciately', 1)
('pahramcy', 1)
('knollcarol', 1)
('wello', 1)
('egberts', 1)
('painfulplease', 1)
('almaden', 1)
('bimatotrost', 1)
('latanotrost', 1)
('lumitin', 1)
('travatanz', 1)
('awareof', 1)
('capuyan', 1)
('bonifacio', 1)
('modina', 1)
('tromethaminepf', 1)
('opht', 1)
('camein', 1)
('lengs', 1)
('savak', 1)
('primemail', 1)
('lareau', 1)
('ofloxacine', 1)
('dupuytren', 1)
('molteno', 1)
('epitheliopathy', 1)
('poag', 1)
('grubbs', 1)
('drwarner', 1)
('gpdr', 1)
('antibioticrn', 1)
('silvas', 1)
('kriz', 1)
('geraldine', 1)
('corea', 1)
('beauchamp', 1)
('candice', 1)
('windisch', 1)
('hyclate', 1)
('vibramycin', 1)
('betagan', 1)
('torics', 1)
('alcons', 1)
('yearby', 1)
('wrm', 1)
('longstating', 1)
('preinjection', 1)
('illnesschief', 1)
('complaintreason', 1)
('desowen', 1)
('tridesilon', 1)
('dermasmoothefs', 1)
('seborrheica', 1)
('conjunctivasclera', 1)
('disciform', 1)
('chorioretinal', 1)
('choroideremia', 1)
('alshammaris', 1)
('shiley', 1)
('rpvls', 1)
('lubicrant', 1)
('ingridents', 1)
('refreash', 1)
('hoyne', 1)
('lacroix', 1)
('erye', 1)
('glc', 1)
('haulman', 1)
('natasha', 1)
('saltzmann', 1)
('tsuiwan', 1)
('desiree', 1)
('kerley', 1)
('dsaek', 1)
('goldberglin', 1)
('spost', 1)
('dsek', 1)
('afshari', 1)
('clal', 1)
('problempt', 1)
('stargardt', 1)
('serarg', 1)
('substition', 1)
('abca', 1)
('septra', 1)
('sulfamethoxazoletrimethoprim', 1)
('cystectomypossible', 1)
('salpingo', 1)
('zeaxanthine', 1)
('atropic', 1)
('refaxed', 1)
('careyou', 1)
('bascom', 1)
('llke', 1)
('genrated', 1)
('gibsonrawls', 1)
('rcve', 1)
('callbck', 1)
('rnrx', 1)
('silverscript', 1)
('drmosss', 1)
('jennis', 1)
('greenbergpeter', 1)
('greenberg', 1)
('bugathavaralakshmi', 1)
('summarymem', 1)
('inqchart', 1)
('bugatha', 1)
('varalakshmi', 1)
('eog', 1)
('punctal', 1)
('occlusionverbalized', 1)
('doxycyline', 1)
('refillspt', 1)
('cyclog', 1)
('ubanks', 1)
('refillstates', 1)
('isonly', 1)
('dayrequest', 1)
('seenpt', 1)
('backordering', 1)
('methazolamide', 1)
('timerol', 1)
('olivas', 1)
('drtittler', 1)
('drpowers', 1)
('drkossler', 1)
('teriis', 1)
('soemtimes', 1)
('emmerson', 1)
('orcaia', 1)
('hleps', 1)
('alzite', 1)
('porescription', 1)
('yanez', 1)
('beaujean', 1)
('asako', 1)
('couvillion', 1)
('hemorrage', 1)
('wagreens', 1)
('singhs', 1)
('dorzolomide', 1)
('drmosh', 1)
('scheudle', 1)
('mosfeghi', 1)
('tobrex', 1)
('cornaby', 1)
('cardiologistmed', 1)
('preservision', 1)
('goldbergs', 1)
('xdays', 1)
('blums', 1)
('lanham', 1)
('accredo', 1)
('drnguyen', 1)
